phase,episode,round,win_rate_last_100,loss_last_100,shaped_reward_last_100,epsilon,learning_rate,buffer_size,best_win_rate
episode,100,,0.42,0.0016162750698778402,0.014026401246139858,0.6057704364907278,0.001,2050,
episode,200,,0.52,0.0013386672613144104,0.014120495918001052,0.3669578217261671,0.001,4082,
episode,300,,0.61,0.001330662164415112,0.014863595615185332,0.22229219984074702,0.001,6005,
episode,400,,0.82,0.0013622292831524327,0.017199770090481577,0.1346580429260134,0.001,7544,
episode,500,,0.86,0.0012994820948606827,0.01926557994127999,0.08157186144027828,0.001,8834,0.86
episode,600,,0.93,0.0013138590443137568,0.020819740726941052,0.05,0.001,9956,0.93
episode,700,,0.97,0.001044434729736532,0.022501279006224825,0.05,0.001,10858,0.97
episode,800,,0.97,0.0010781872986225863,0.02311298330134143,0.05,0.001,11709,0.97
episode,900,,0.99,0.0009883910318834283,0.02409788706663706,0.05,0.001,12506,0.99
episode,1000,,0.99,0.0010962435018053427,0.02395239142665613,0.05,0.001,13295,0.99
episode,1100,,0.98,0.0007617507945773892,0.024448875873258027,0.05,0.0008,14064,0.99
episode,1200,,0.98,0.0006625213271742752,0.02453783399470899,0.05,0.0008,14836,0.99
episode,1300,,0.98,0.0007826205899872017,0.024062362128612128,0.05,0.0008,15639,0.99
episode,1400,,0.98,0.000846122466392963,0.024220785233285236,0.05,0.0008,16434,0.99
episode,1500,,0.98,0.0007201264381868,0.02340075202303143,0.05,0.0008,17267,0.99
episode,1600,,0.97,0.0007558251018278475,0.023426236250348093,0.05,0.0008,18100,0.99
episode,1700,,0.96,0.0008704304573011201,0.022572484066859067,0.05,0.0008,18997,0.99
episode,1800,,0.95,0.0008532877021467602,0.022906085624615036,0.05,0.0008,19883,0.99
episode,1900,,0.98,0.000814561463428913,0.023830964590964593,0.05,0.0008,20000,0.99
episode,2000,,0.99,0.0008029392356691089,0.023393180523180526,0.05,0.0008,20000,0.99
episode,2100,,0.98,0.0005155136053672995,0.022671375360750357,0.05,0.00064,20000,0.99
episode,2200,,0.96,0.00046571969608208495,0.022249651701784057,0.05,0.00064,20000,0.99
episode,2300,,0.96,0.0006175911931509835,0.022088770919984152,0.05,0.00064,20000,0.99
episode,2400,,0.92,0.000736808970536093,0.02159971041703021,0.05,0.00064,20000,0.99
episode,2500,,0.94,0.0006486901610247328,0.021722590550645893,0.05,0.00064,20000,0.99
episode,2600,,0.96,0.00037237151926577586,0.02197286179879059,0.05,0.00064,20000,0.99
episode,2700,,0.99,0.00045299877541983807,0.022195140804184926,0.05,0.00064,20000,0.99
episode,2800,,0.92,0.00046508164379654125,0.021680861622704235,0.05,0.00064,20000,0.99
episode,2900,,0.96,0.0005684443115554281,0.023007750000544117,0.05,0.00064,20000,0.99
episode,3000,,0.98,0.0004442348353002139,0.022897830412764622,0.05,0.00064,20000,0.99
episode,3100,,0.96,0.00034727701636355006,0.02393325232831038,0.05,0.0005120000000000001,20000,0.99
episode,3200,,0.98,0.00029751877904088793,0.024300544602338083,0.05,0.0005120000000000001,20000,0.99
episode,3300,,0.97,0.00034268614051670545,0.02455965158559552,0.05,0.0005120000000000001,20000,0.99
episode,3400,,1.0,0.0002786246296259228,0.024596236171236182,0.05,0.0005120000000000001,20000,1.0
episode,3500,,0.95,0.00026308075007864867,0.02450035684631273,0.05,0.0005120000000000001,20000,1.0
episode,3600,,0.97,0.0003895272309906055,0.023982823933313063,0.05,0.0005120000000000001,20000,1.0
episode,3700,,1.0,0.0002833939279371642,0.024850086642660175,0.05,0.0005120000000000001,20000,1.0
episode,3800,,0.99,0.00020748021461506984,0.025390806878306877,0.05,0.0005120000000000001,20000,1.0
episode,3900,,0.98,0.0002271429801863164,0.025414226863959413,0.05,0.0005120000000000001,20000,1.0
episode,4000,,0.99,0.00017114417906902315,0.024954633579784512,0.05,0.0005120000000000001,20000,1.0
episode,4100,,0.99,0.00016808364105100552,0.025628852513227517,0.05,0.0004096000000000001,20000,1.0
episode,4200,,0.97,0.00017786919100315797,0.025122862401759462,0.05,0.0004096000000000001,20000,1.0
episode,4300,,0.98,0.0002672009334152583,0.024703131529950583,0.05,0.0004096000000000001,20000,1.0
episode,4400,,0.97,0.00020916319568914976,0.024795720586316565,0.05,0.0004096000000000001,20000,1.0
episode,4500,,0.98,0.0003101282269104867,0.025678725789461083,0.05,0.0004096000000000001,20000,1.0
episode,4600,,0.98,0.00020841216503224405,0.026194312694361326,0.05,0.0004096000000000001,20000,1.0
episode,4700,,0.98,0.00027421920658925224,0.02517790939452704,0.05,0.0004096000000000001,20000,1.0
episode,4800,,0.97,0.0002191562026825167,0.025280264248951325,0.05,0.0004096000000000001,20000,1.0
episode,4900,,0.98,0.00013078650889170718,0.025409054880591263,0.05,0.0004096000000000001,20000,1.0
episode,5000,,0.99,0.0001566647031792862,0.024869217472342477,0.05,0.0004096000000000001,20000,1.0
episode,5100,,0.99,0.00019258188185405326,0.025510059523809532,0.05,0.0003276800000000001,20000,1.0
episode,5200,,0.98,0.00014574877115100684,0.026040050505050504,0.05,0.0003276800000000001,20000,1.0
episode,5300,,1.0,0.0001468638922667313,0.025806368746993744,0.05,0.0003276800000000001,20000,1.0
episode,5400,,0.96,0.00020137408211971846,0.0250931521127589,0.05,0.0003276800000000001,20000,1.0
episode,5500,,1.0,0.0001939613115031667,0.025688742997198873,0.05,0.0003276800000000001,20000,1.0
episode,5600,,1.0,0.00015706726523142392,0.02586758954008954,0.05,0.0003276800000000001,20000,1.0
episode,5700,,0.99,0.0001240510071167585,0.024983426758426755,0.05,0.0003276800000000001,20000,1.0
episode,5800,,0.99,0.0001093346248365748,0.02596850145225145,0.05,0.0003276800000000001,20000,1.0
episode,5900,,1.0,0.00011511618444068564,0.025847646225606757,0.05,0.0003276800000000001,20000,1.0
episode,6000,,1.0,8.696530695419136e-05,0.0259380753968254,0.05,0.0003276800000000001,20000,1.0
