phase,episode,round,win_rate_last_100,loss_last_100,shaped_reward_last_100,epsilon,learning_rate,buffer_size,best_win_rate
episode,100,,0.44,0.0014464094403616886,0.014369167144777843,0.6057704364907278,0.001,2141,
episode,200,,0.69,0.0011990100432911854,0.015016957916944709,0.3669578217261671,0.001,4170,
episode,300,,0.73,0.0011485200893739437,0.015801894196745034,0.22229219984074702,0.001,6116,
episode,400,,0.77,0.001265922188004454,0.016320165296831068,0.1346580429260134,0.001,7931,
episode,500,,0.87,0.001319450024830655,0.017616438956247985,0.08157186144027828,0.001,9545,0.87
episode,600,,0.9,0.0012176943973069532,0.018334595008095735,0.05,0.001,11072,0.9
episode,700,,0.93,0.0012044965747845058,0.018702764081445097,0.05,0.001,12537,0.93
episode,800,,0.97,0.001117952917063623,0.020046020280505825,0.05,0.001,13797,0.97
episode,900,,0.95,0.001263740143393222,0.020270874512618272,0.05,0.001,15091,0.97
episode,1000,,0.92,0.0011287418001197935,0.02103826101014569,0.05,0.001,16314,0.97
episode,1100,,0.95,0.001014317389752305,0.022219694206865256,0.05,0.0008,17366,0.97
episode,1200,,0.95,0.0010102732838549794,0.022815965026371208,0.05,0.0008,18401,0.97
episode,1300,,0.93,0.0011459928274549095,0.02276286901380092,0.05,0.0008,19454,0.97
episode,1400,,0.96,0.0011153371183639067,0.02388408429275689,0.05,0.0008,20000,0.97
episode,1500,,0.99,0.0009897997483893442,0.0245084185340803,0.05,0.0008,20000,0.99
episode,1600,,0.96,0.0008521281570214546,0.023679894235986914,0.05,0.0008,20000,0.99
episode,1700,,0.97,0.000981811133824208,0.024836218277336702,0.05,0.0008,20000,0.99
episode,1800,,0.96,0.0009255099099148377,0.02431298826226743,0.05,0.0008,20000,0.99
episode,1900,,0.96,0.0007584175487536217,0.02465752084416558,0.05,0.0008,20000,0.99
episode,2000,,0.96,0.0008662266526817566,0.024195888217022458,0.05,0.0008,20000,0.99
episode,2100,,0.94,0.0007511783404408504,0.022636698991321414,0.05,0.00064,20000,0.99
episode,2200,,0.91,0.0008732751718720565,0.023075727924902107,0.05,0.00064,20000,0.99
episode,2300,,0.97,0.0006738356307184041,0.023273222208576316,0.05,0.00064,20000,0.99
episode,2400,,0.93,0.0006654718122161878,0.022568511661004424,0.05,0.00064,20000,0.99
episode,2500,,0.96,0.0007186560495339489,0.02239287404163044,0.05,0.00064,20000,0.99
episode,2600,,0.96,0.0006649897914374347,0.023504924136725863,0.05,0.00064,20000,0.99
episode,2700,,0.97,0.0006122014203514232,0.023234694603570385,0.05,0.00064,20000,0.99
episode,2800,,0.95,0.0004919851697281972,0.023750481950795255,0.05,0.00064,20000,0.99
episode,2900,,0.95,0.0005074994191178954,0.022681613934871607,0.05,0.00064,20000,0.99
episode,3000,,0.94,0.00047000821761489545,0.022690558750746447,0.05,0.00064,20000,0.99
episode,3100,,0.93,0.0005068392963932754,0.022816796082028277,0.05,0.0005120000000000001,20000,0.99
episode,3200,,0.99,0.0004906148275662723,0.023614862220735576,0.05,0.0005120000000000001,20000,0.99
episode,3300,,0.98,0.0003437861639967105,0.02427471318363775,0.05,0.0005120000000000001,20000,0.99
episode,3400,,0.98,0.000256668528329673,0.023659741007902774,0.05,0.0005120000000000001,20000,0.99
episode,3500,,0.94,0.0005274478406315366,0.022727489057067233,0.05,0.0005120000000000001,20000,0.99
episode,3600,,0.94,0.0005247252862451112,0.023093276905970326,0.05,0.0005120000000000001,20000,0.99
episode,3700,,0.92,0.0005907544262718056,0.02331407295840455,0.05,0.0005120000000000001,20000,0.99
episode,3800,,0.97,0.0005497322048327668,0.024410951846356256,0.05,0.0005120000000000001,20000,0.99
episode,3900,,0.94,0.0006252230560568614,0.024067494899477168,0.05,0.0005120000000000001,20000,0.99
episode,4000,,0.95,0.0005039488220615561,0.023030416504103576,0.05,0.0005120000000000001,20000,0.99
episode,4100,,0.98,0.00027378676562479456,0.0251247693646223,0.05,0.0004096000000000001,20000,0.99
episode,4200,,0.97,0.0004046416066940077,0.02509754344339871,0.05,0.0004096000000000001,20000,0.99
episode,4300,,0.95,0.0004288693376164672,0.024384865874019192,0.05,0.0004096000000000001,20000,0.99
episode,4400,,0.97,0.0004172921568804659,0.024289487448467716,0.05,0.0004096000000000001,20000,0.99
episode,4500,,0.95,0.0004254836104325262,0.024696927151795577,0.05,0.0004096000000000001,20000,0.99
episode,4600,,0.96,0.000509595695737787,0.023836720155704292,0.05,0.0004096000000000001,20000,0.99
episode,4700,,0.99,0.00029938968522808754,0.024967197570947567,0.05,0.0004096000000000001,20000,0.99
episode,4800,,0.95,0.00036622804636686636,0.023849962398712402,0.05,0.0004096000000000001,20000,0.99
episode,4900,,0.99,0.0004419384767690277,0.024118044674729458,0.05,0.0004096000000000001,20000,0.99
episode,5000,,0.98,0.0003875908549560745,0.024337901362769778,0.05,0.0004096000000000001,20000,0.99
episode,5100,,0.99,0.00026606333861822675,0.024887699389981997,0.05,0.0003276800000000001,20000,0.99
episode,5200,,0.98,0.00024132677579077354,0.025147403131559817,0.05,0.0003276800000000001,20000,0.99
episode,5300,,0.96,0.00039140089693238023,0.02495997583084271,0.05,0.0003276800000000001,20000,0.99
episode,5400,,0.95,0.00037098888668900216,0.024347264934068344,0.05,0.0003276800000000001,20000,0.99
