experiment,episode,board_size,start_stones,opponent,dqn_color,winner,dqn_win,game_length,invalid_fallbacks,experimental_board_transfer
experimental_board_size_transfer,1,5,0,Random Agent,RED,BLUE,0,20,0,True
experimental_board_size_transfer,2,5,0,Random Agent,BLUE,RED,0,21,0,True
experimental_board_size_transfer,3,5,0,Random Agent,RED,RED,1,23,0,True
experimental_board_size_transfer,4,5,0,Random Agent,BLUE,RED,0,25,0,True
experimental_board_size_transfer,5,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,6,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,7,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,8,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,9,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,10,5,0,Random Agent,BLUE,RED,0,21,0,True
experimental_board_size_transfer,11,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,12,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,13,5,0,Random Agent,RED,BLUE,0,16,0,True
experimental_board_size_transfer,14,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,15,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,16,5,0,Random Agent,BLUE,RED,0,21,0,True
experimental_board_size_transfer,17,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,18,5,0,Random Agent,BLUE,RED,0,23,0,True
experimental_board_size_transfer,19,5,0,Random Agent,RED,BLUE,0,18,0,True
experimental_board_size_transfer,20,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,21,5,0,Random Agent,RED,BLUE,0,22,0,True
experimental_board_size_transfer,22,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,23,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,24,5,0,Random Agent,BLUE,RED,0,23,0,True
experimental_board_size_transfer,25,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,26,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,27,5,0,Random Agent,RED,RED,1,11,0,True
experimental_board_size_transfer,28,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,29,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,30,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,31,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,32,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,33,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,34,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,35,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,36,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,37,5,0,Random Agent,RED,BLUE,0,24,0,True
experimental_board_size_transfer,38,5,0,Random Agent,BLUE,RED,0,21,0,True
experimental_board_size_transfer,39,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,40,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,41,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,42,5,0,Random Agent,BLUE,BLUE,1,10,0,True
experimental_board_size_transfer,43,5,0,Random Agent,RED,RED,1,25,0,True
experimental_board_size_transfer,44,5,0,Random Agent,BLUE,BLUE,1,12,0,True
experimental_board_size_transfer,45,5,0,Random Agent,RED,RED,1,9,0,True
experimental_board_size_transfer,46,5,0,Random Agent,BLUE,BLUE,1,10,0,True
